Country,State,Company_Owned,Franchise,Joint_Venture,Licensed,Total
Turkey,32,0,0,0,1,1
Turkey,33,0,0,0,4,4
Turkey,34,0,0,0,160,160
Turkey,35,0,0,0,20,20
Turkey,38,0,0,0,3,3
Turkey,41,0,0,0,10,10
Turkey,42,0,0,0,2,2
Turkey,48,0,0,0,7,7
Turkey,54,0,0,0,2,2
Turkey,55,0,0,0,3,3
Turkey,6,0,0,0,47,47
Turkey,7,0,0,0,17,17
Turkey,9,0,0,0,5,5
Trinidad and Tobago,CHA,0,0,0,1,1
Trinidad and Tobago,POS,0,0,0,1,1
Trinidad and Tobago,SFO,0,0,0,1,1
Taiwan,CHA,0,0,6,0,6
Taiwan,CYI,0,0,6,0,6
Taiwan,CYQ,0,0,1,0,1
Taiwan,HSQ,0,0,4,0,4
Taiwan,HSZ,0,0,17,0,17
Taiwan,HUA,0,0,3,0,3
Taiwan,ILA,0,0,4,0,4
Taiwan,KEE,0,0,3,0,3
Taiwan,KHH,0,0,34,0,34
Taiwan,MIA,0,0,3,0,3
Taiwan,NAN,0,0,5,0,5
Taiwan,PEN,0,0,4,0,4
Taiwan,PIF,0,0,4,0,4
Taiwan,TAO,0,0,35,0,35
Taiwan,TNN,0,0,28,0,28
Taiwan,TNQ,0,0,2,0,2
Taiwan,TPE,0,0,126,0,126
Taiwan,TPQ,0,0,60,0,60
Taiwan,TTT,0,0,1,0,1
Taiwan,TXG,0,0,43,0,43
Taiwan,TXQ,0,0,1,0,1
Taiwan,YUN,0,0,4,0,4
USA,AK,9,0,0,40,49
USA,AL,49,0,0,36,85
USA,AR,36,0,0,19,55
USA,AZ,205,0,0,283,488
USA,CA,1982,0,0,839,2821
USA,CO,231,0,0,250,481
USA,CT,88,0,0,35,123
USA,DC,68,0,0,23,91
USA,DE,11,0,0,14,25
USA,FL,482,0,0,212,694
USA,GA,177,0,0,149,326
USA,HI,63,0,0,36,99
USA,IA,31,0,0,58,89
USA,ID,34,0,0,33,67
USA,IL,393,0,0,182,575
USA,IN,123,0,0,98,221
USA,KS,41,0,0,53,94
USA,KY,54,0,0,62,116
USA,LA,55,0,0,29,84
USA,MA,190,0,0,83,273
USA,MD,142,0,0,115,257
USA,ME,20,0,0,10,30
USA,MI,132,0,0,151,283
USA,MN,88,0,0,96,184
USA,MO,91,0,0,97,188
USA,MS,16,0,0,16,32
USA,MT,16,0,0,20,36
USA,NC,152,0,0,186,338
USA,ND,9,0,0,4,13
USA,NE,21,0,0,37,58
USA,NH,22,0,0,7,29
USA,NJ,174,0,0,87,261
USA,NM,47,0,0,29,76
USA,NV,118,0,0,135,253
USA,NY,506,0,0,139,645
USA,OH,180,0,0,198,378
USA,OK,53,0,0,26,79
USA,OR,204,0,0,155,359
USA,PA,220,0,0,137,357
USA,RI,18,0,0,9,27
USA,SC,68,0,0,63,131
USA,SD,10,0,0,15,25
USA,TN,97,0,0,83,180
USA,TX,627,0,0,415,1042
USA,UT,56,0,0,45,101
USA,VA,246,0,0,186,432
USA,VT,6,0,0,2,8
USA,WA,442,0,0,315,757
USA,WI,102,0,0,43,145
USA,WV,10,0,0,15,25
USA,WY,11,0,0,12,23
Vietnam,HN,0,0,0,6,6
Vietnam,SG,0,0,0,19,19
Zambia,GT,0,0,0,3,3
